We can make this file beautiful and searchable if this error is corrected: No commas found in this CSV file in line 0.
| firstname | lastname | age | field |
|-----------|----------|-----|-------|
| Johann | Kerbrou | 30 | CS |
| Guillaume | Salou | 30 | SWE |
| Arielle | Salou | 20 | CS |
| Jonathan | Benou | 30 | CS |
| Emmanuel | Turlou | 40 | CS |
| Guillaume | Plessous | 35 | CS |
| Joseph | Crisou | 34 | SWE |
| Paul | Schneider | 60 | SWE |
| Tommy | Schoul | 32 | SWE |
| Katie | Shirou | 21 | CS |
